Detailed Condition Assessment	تقييم مفصل للحالة	**This sheet has only those fields which are not already listed in the Condition Assessment Tab	Unnamed: 3	Alternative suggested translation	MK comments	Old Term replaced by AB or MK
Civil unrest	قلاقل مدنية					
Clearance	تصفية			تنظيف وتسوية		
Climate Related Threats	تهديدات متصلة بالمناخ			تهديدات على صلة بالمناخ	same meaning	
Deliberate destruction of heritage	هدم متعمد للتراث					
Demolition	تحطيم			تهديم	no	
Emergency Response Related Threats	إجراءات طوارئ متعلقة بالمخاطر					
Explosion	إنفجار					
Fire	حريق					
Flooding	فيضان					
Graffiti	رسومات أو خربشات على الجدران					
Gunfire/Light Weaponry	إطلاق نيران/ أسلحة خفيفة					
Illegal activities	أنشطة غير قانونية					
Illegal Construction	إنشاءات غير قانونية					
Improper Interventions and Treatment Methods	تدخلات، ومعالجات مواد غير مناسبة					
Landuse Change	تغير في استخدام الأراضي					
Other Human Activities	أنشطة بشرية أخرى					
Other Recovery Related threats	مخاطر أخرى لها علاقة بالانقاذ					
Reuse of heritage/building material	إعادة استخدام التراث/ مواد البناء					
Rising Water	رطوبة صاعدة 					
Road/Track	طريق/ مسار			طريق/ درب	all are OK	
Stationary Vehicle	مركبة ثابتة					
Structural Robbing	سرقة/سلب البناء			سلب البناء	سرقة/سلب البناء	سرقات إنشائية
Sudden Ecological or Geological Events	حوادث جيولوجية وإكولوجية مفاجئة			حوادث جيولوجية وإيكولوجية مفاجئة	same translation	
Temperature/Humidity Change	تغير في الحرارة/ تغير في الرطوبة					
Tunneling	أثر نفقي					
Vandalism	تخريب					
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
