Modification and Construction	التعديل والبناء	Unnamed: 2	Unnamed: 3	Unnamed: 4	Alternative suggested translation	Unnamed: 6	Unnamed: 7
Beam-supported	عارضة تدعيم						
Brick-laid Laying 	تصفيف الآجر	Laying bricks (baked bricks or dried mud bricks or breeze blocks) with mortar to form a wall					
Cob/Wet Applied Mud	طين مدكوك (ضرب باب)	"Walls composed of wet mud (sediment possibly bonded with straw, lime, or sand, mixed with water). Constructed without shutters in layers. The layers are applied wet and left to dry before applying the next layer. In MENA archaeological literature this is often referred to as ""pisé"".
"					
Iron/Steel Construction	بناء حديدي/ فولاذي						
Masonry (Dry)	جدار من حجارة بدون مونة	Laying stones to form a wall without the use of mortar.				mk comments	
Masonry (Mortared)	جدار من حجارة مُثبتة بالمونة	Laying stones to form a wall, bonded with mortar.			جدار من حجارة مُثبتة بالمونة	ok	(جدار ( مُثبت بالمونة 
Masonry (Unclassified)	جدار (غير مصنف)	Laying stone to form a wall.			جدار (غير مصنف)	ok	 (جدار (غير محدد 
Mosaic	فسيفساء	Inlaid surface decoration for floors and walls formed by small pieces of stone, glass or ceramic.					
Paving (Other)	 (تبليط (آخر 	Laying a pavement or similar surface.					
Plastering	تكسية	Applying a coat on other building material to make to surface smooth.					
Post-supported	دعامة						
Pouring/Precasting	سكب/صب	Normally of concrete					
Rammed Earth/Pisé	(طين مدكوك (ضرب باب	Walls composed of wet mud (sediment, possibly bonded with straw or other vegetal matter, lime, or sand, mixed with water). Constructed with shutters to keep the mud in place while it is still wet.					
Roofing (Dome)	تسقيف/مُقبب	Covering with a dome shaped roof					
Roofing (Flat)	(تسقيف (مسطح - منبسط	Covering with a flat shaped roof					
Roofing (Sloping)	(تسقيف (منحدر	Covering with a sloping roof					
Roofing (Vaulted)	(تسقيف (مقبي	Covering with a vault shaped roof					
Rubble-filled walling	 جدار محشو بالدبش 	Double laid (masonry) wall, ofen of stone, filled in the middle with earth/small stone rubble					
Stucco	ملاط الجبس	Fine plaster used for covering walls and for making decorations (cornices, mouldings, etc.)					
Tiling (Roof)	(قرميد (سقف	Overlaying a roof with tiles					
Tiling (Wall/Floor)	 (قرميد (أرضية/جدار 	Overlaying a wall or floor with tiles			(رميد (أرضية/جدار)	 (قرميد (أرضية/جدار 	 (قرميد (تأرضية/جدار 
Unknown	غير محدد	Unknown	غير معلوم		غير محدد	ok	 مجهول 
Waterproofing / rendering	تبطين مانع للرشح 	Making something water resistant by applying waterproof material					
Wattle-and-Daub	أغصان رقيقة مجدولة وطين	Mixture of twigs, earth, clay and mud			أغصان رقيقة مجدولة وطين	ok	غصان رقيقة مجدولة وطين
Wood Construction	إنشاء من الخشب	Timber framing					
x							
